NER,2001,8.198279224636742,1
SDN,2001,0.7969263752377768,2
BWA,2001,0.315354832418827,3
BFA,2002,3.8232211594248913,1
NER,2002,1.820396311950098,2
BWA,2002,1.8128690369753209,3
BFA,2003,8.071101479846554,1
NER,2003,5.482488981946776,2
BWA,2003,4.8202475951248145,3
NER,2004,16.379215718011228,1
MRT,2004,5.37093917847361,2
BFA,2004,1.9117601509180278,3
MRT,2005,5.356876211461822,1
BFA,2005,0.9729773816309927,2
BWA,2005,0.8423662097604634,3
SDN,2006,5.194293570892056,1
BFA,2006,3.458192811870923,2
BWA,2006,1.0309985737144098,3
NER,2007,16.38061284749734,1
BFA,2007,5.735876816738509,2
BWA,2007,1.23216851364787,3
BFA,2008,3.457881950984455,1
BWA,2008,1.586766450904956,2
SDN,2008,0.3987058548685903,3
BFA,2009,3.6301890284004923,1
BWA,2009,1.000412793033817,2
SDN,2009,0.2693971887692211,3
BFA,2010,2.364561270273188,1
BWA,2010,1.3553424167341728,2
SDN,2010,0.5217693169242562,3
BWA,2011,1.928497164793067,1
BFA,2011,0.3831257217246988,2
NAM,2011,0.14893779211727487,3
NER,2012,16.44836340164508,1
BFA,2012,15.537428754335885,2
BWA,2012,2.6182092932645675,3
BFA,2013,25.913554877208764,1
NAM,2013,4.517969281161328,2
BWA,2013,2.926962857377905,3
SDN,2014,3.8312593232371555,1
NAM,2014,2.715000441778793,2
BWA,2014,2.6620766542349,3
NAM,2015,47.91583947984151,1
SDN,2015,2.6716312780184794,2
PAK,2015,2.2570268190450955,3
BWA,2016,56.80391870304114,1
NAM,2016,7.996293217396444,2
IRQ,2016,1.008874124723657,3
BWA,2017,35.71552601435172,1
NAM,2017,5.759609454616257,2
IRQ,2017,0.5044510960855976,3
BWA,2018,15.744778555118463,1
NAM,2018,1.3311999093642373,2
SDN,2018,1.3037179955221008,3
BWA,2019,572.560993237533,1
IRQ,2019,7.989086273661166,2
NAM,2019,5.579385071591098,3
